col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
986.0,1484.2282801204087,0.731057369148862,0.7306094602878371,1.0,0.7307886238322471,0.7306990420600421,722.9486218670271,14.0,0.6646915700365188,0.7303407149712222,19.0,92.0,2.0,0.7299823878824023,2164.8021616615506
589.0,1829.9386767810104,0.07099203475193139,0.9187140138555101,0.0,0.5796252073129174,0.7491696031336331,590.9226664148397,61.0,0.23460053944216014,0.42734718641649616,21.0,0.0,2.0,0.10552478460052028,2355.652165080068
848.0,1008.5498646647083,0.06712000939049956,0.9186071189908658,0.0,0.7780122870716483,0.34830970303125697,197.7988297531575,9.0,0.053873788888232584,0.6294993817708533,5.0,75.0,3.0,0.9106890605104496,1835.3173909811237
314.0,2001.3301744694893,0.768156984078079,0.6795571637816596,1.0,0.11499709190022733,0.8972771427421047,800.5905492212285,22.0,0.22214669801347037,0.026397286504969197,14.0,98.0,2.0,0.15551743026783382,767.9128005277065
255.0,1739.9618100217433,0.22733466107144407,0.07838777450255496,0.0,0.33796652614987843,0.7081771577767972,553.6379537436795,32.0,0.7451162107982607,0.18901963958098933,17.0,63.0,1.0,0.6698621362863425,3448.350641556223
905.0,2004.464292813806,0.6603196166875382,0.02481356043541838,1.0,0.6790159650548728,0.35191477764630685,709.244604675946,52.0,0.3372561246724137,0.04350990880275296,20.0,10.0,2.0,0.7351050399591992,1733.6756602947626
435.0,463.16059865803794,0.806673557557068,0.6992516934753201,0.0,0.5422204391080193,0.12073605139050847,13.181045435672944,60.0,0.7792174689767284,0.4347985601251102,23.0,93.0,1.0,0.7488610539585506,1857.8783890115913
607.0,151.83147111292587,0.029817676716547004,0.8049369643305346,1.0,0.8948892373640106,0.8499131008472726,618.7820645766476,17.0,0.6506360555202667,0.6700085398791594,24.0,13.0,2.0,0.4901039491087238,3108.919687353813
979.0,1508.6101681308364,0.8111701180817663,0.15123210213417404,0.0,0.015207317453907687,0.08321971724462152,419.04886953190936,34.0,0.2614037670011409,0.3552692866051542,21.0,56.0,1.0,0.6273188857680094,3781.9683616514085
749.0,1927.654039027154,0.9454162249694203,0.9245810422363743,0.0,0.932915118309825,0.928748072822519,898.8337611885783,72.0,0.8337847256482038,0.9120799206756177,14.0,14.0,0.0,0.8954117834298776,2215.843576139439
570.0,61.94185413555489,0.15273360478742526,0.7638354259288844,1.0,0.5193946885316041,0.6416150497796637,250.1897022119116,19.0,0.007531295066753351,0.13049650967306325,9.0,60.0,0.0,0.6193779695664628,838.8562827260953
474.0,1404.0604200073155,0.910276257643282,0.0033807088945944086,1.0,0.5661389373347662,0.7847598305652609,869.0856389984075,53.0,0.40096645721352464,0.6592433885860786,9.0,16.0,1.0,0.533726931705735,3861.9258375810123
318.0,1728.9325148815494,0.9991462683878385,0.7364231848789149,0.0,0.4415124063615554,0.5889677956202352,322.9822502380489,7.0,0.028513893130552987,0.17878932285263183,6.0,5.0,0.0,0.7686108500850284,3774.6310676315406
264.0,115.19669948108678,0.539992632542705,0.9562200971497884,0.0,0.9897291172674195,0.47297460720860396,880.3100658496801,25.0,0.8396670800992632,0.4059565818745029,20.0,55.0,0.0,0.33893855654040184,11682.62047744291
563.0,828.8187439260653,0.9775124263642735,0.8236490954363953,1.0,0.6851944188668498,0.2544217646022032,99.55284933758179,56.0,0.8755144189653494,0.5313311028401329,8.0,62.0,2.0,0.8082404410780626,2178.2048084934936
235.0,715.3492479018412,0.15843782637336135,0.18868296808848295,1.0,0.5765849143826666,0.3826339337849941,408.7502847451145,57.0,0.7287107298328124,0.6068300560977881,13.0,54.0,2.0,0.8310261635094209,935.404802455993
593.0,2017.183881973132,0.5490886638085233,0.3260987760207651,0.0,0.2152947311358684,0.7706967535783168,542.2297971326531,40.0,0.39758158058420906,0.9923048582492714,1.0,44.0,2.0,0.2139129480190649,1636.116624541273
263.0,1140.7490382903948,0.09354586616359473,0.7515484122780622,0.0,0.6883473878718107,0.21994791497609767,869.1709712318091,11.0,0.7414219873827256,0.3463499637886007,24.0,69.0,3.0,0.47275201260110367,2349.0763066287727
597.0,966.2486172851532,0.44339036056222936,0.2804195352063912,1.0,0.34560786534872645,0.31301371517872,148.54246092465291,14.0,0.19586041016834746,0.18263703999288816,10.0,60.0,3.0,0.05226039460937881,2074.605673259488
190.0,100.30530077639506,0.4128618847449528,0.23011387269136807,1.0,0.5032130894337309,0.8666634810625495,677.0762995667257,49.0,0.8708833504736515,0.3204650624789851,20.0,24.0,1.0,0.7742666587965817,3522.2118418114133
377.0,1182.012907318197,0.28649757692591293,0.8076235761667796,1.0,0.39917317349020076,0.10339838227907083,618.2791377047381,14.0,0.19662732074745629,0.9202991727310674,11.0,23.0,1.0,0.7371999780842252,3146.239128604303
333.0,1728.0232257315774,0.1692379076854107,0.7592125746067487,0.0,0.12322269591728463,0.4412176352620166,30.880393913670815,65.0,0.3596342324995538,0.7131973926409451,19.0,78.0,1.0,0.9851771202175511,2498.62778404047
311.0,464.2078833849215,0.4874576197510474,0.7813765029039796,0.0,0.2638089466625745,0.5225927322338576,808.3464992329219,11.0,0.2720390802622434,0.5577278298155067,11.0,52.0,1.0,0.5928629422983169,3411.4019405845015
100.0,310.9673144881662,0.9431689547993323,0.8930844721729951,0.0,0.3131182711839945,0.10310138657965606,52.48670540948646,63.0,0.4304761125774162,0.26303378855765736,14.0,69.0,1.0,0.42296619053565865,2786.844864961333
675.0,1956.7622415073517,0.8906096714824934,0.5240466860178097,1.0,0.6706718712629864,0.5973592711898175,228.48830811573285,2.0,0.3434535385829826,0.30410887089714156,11.0,40.0,2.0,0.010858470604465653,2180.597404764701
960.0,472.2300567296812,0.5357579968781104,0.051419792524972086,0.0,0.4451550712859952,0.748287424454903,261.30971314859744,69.0,0.5984928939651369,0.9608168520316956,23.0,37.0,1.0,0.17334629450964945,3577.5452794796956
299.0,1251.7825615986355,0.5716705527329732,0.34681494719127703,0.0,0.43675719834865223,0.3917860802205452,165.26118468421012,59.0,0.23375418051096405,0.21190159280695609,6.0,44.0,3.0,0.03201713519568927,1202.4746195068337
154.0,1236.0576663563231,0.2541151994281521,0.48021421564137534,0.0,0.18977460617585384,0.8349944183591952,60.48250022669416,15.0,0.7012949808472762,0.415873622389077,19.0,82.0,2.0,0.9967528413201201,1951.636301576965
438.0,502.66656799461134,0.690779419799508,0.9065814939341068,0.0,0.020260667260499576,0.46342108804788373,672.4309453128074,10.0,0.7215411388731333,0.2360627562962595,22.0,70.0,0.0,0.00870442454463527,1186.7463053844558
303.0,1703.9009791606145,0.961211235790107,0.570467018161824,1.0,0.32676470819336945,0.4486158557270161,57.29292171774575,22.0,0.7408940885985535,0.9360204756639252,6.0,55.0,1.0,0.4234250956008343,2366.8878667568792
206.0,1398.6606300864269,0.3337848547628536,0.5577322518854648,1.0,0.2681532811154913,0.9129427814016392,135.52126198685838,31.0,0.7710531990563921,0.49210067823810255,24.0,11.0,0.0,0.0712585899757271,2423.885356592362
855.0,1619.2440088329026,0.2600071331985876,0.5717570631498932,1.0,0.6470570911693709,0.10940707715963205,416.94542228767875,27.0,0.4517758884086213,0.9588070062195154,23.0,68.0,3.0,0.8082069352793987,1359.5147760963087
801.0,251.16016576153984,0.41937761671871987,0.8976446023774922,1.0,0.30633780811398337,0.601991220146899,79.45560899546504,17.0,0.44494578450336775,0.7846047937727557,20.0,23.0,2.0,0.9672183972009347,2269.1532896824833
7.0,218.3762838408805,0.1253974621306525,0.21451212268385733,0.0,0.1788662614428076,0.19668919951391306,282.94580671429713,5.0,0.22764376537166534,0.2679809219960124,21.0,75.0,0.0,0.339272659379273,3416.106931139754
364.0,66.51049734434086,0.7478608051088323,0.3233459014791076,0.0,0.8931518599507653,0.608248888165517,181.89664469043421,65.0,0.6857213481367794,0.4686369563210404,17.0,94.0,3.0,0.3290250393777251,652.8110319960138
956.0,1893.3051737728429,0.4685741246808127,0.14813148238885254,1.0,0.07630854228586892,0.6122200048867801,288.8595889688717,1.0,0.20015852446757101,0.7558658999939086,9.0,81.0,0.0,0.899511780199876,1159.8041031133866
